Category,SubCategory,CatID,CatShort,Explanations,Synonyms - Comma Separated,Category_zh,SubCategory_zh,Synonyms_zh
AIR,BLOW,AIRBlow,AIR,"Steady air blows, like from a compressed can of air.","compressed air, depressurise, release, puff, sputter, flutter, purge",气体,吹,稳定的气流、气压释放、释放、吹气、喷射、颤动
AIR,BURST,AIRBrst,AIR,"Sharp air releases, pressure releases, a tennis call can popping open, a fire extinguisher","air blast, air poof, chuff, spurt, blast",气体,爆发/喷射,空气爆炸、空气爆破、噗噗、喷射、气爆
AIR,HISS,AIRHiss,AIR,"Slow air releases, a flat tire, leak in an air pipe.","air release, exhaust, expel, leak",气体,嘶嘶声,放气、排气、 漏气、排出
AIR,MISC,AIRMisc,AIR,Air sounds not fitting another category in this list.,miscellaneous,气体,杂项,各种各样的、 其他空气声音
AIR,SUCTION,AIRSuck,AIR,"Air being sucked in, a vacuum sucking in air, the rush of air in a shopvac.","vacuum, suck, suction",气体,抽吸,吸气、 吸入、吸尘器
AIRCRAFT,DOOR,AERODoor,AERO,"Aircraft doors, some possible overlap with other DOOR categories, or VEHICLES-DOOR.","cockpit door, aircraft door, hatch, emergency exit",航空器,门,驾驶舱门、飞机门、舱门、紧急出口
AIRCRAFT,HELICOPTER,AEROHeli,AERO,"For all manner of helicopters, gycopters.","gyrocopter, whirlybird, chopper, ghetto bird, bellcopter, police chopper, huey, chopper, blackhawk",航空器,直升机,旋翼机、 直升机、
AIRCRAFT,INTERIOR,AEROInt,AERO,"Interior recordings (mainly complex ambiences) of aircraft, from cockpit interiors, to passenger jet interiors.","jet, airplane, aircraft, passenger jet, glider, zeppelin, airliner, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, fighter jet",航空器,航空舱,飞机、飞机内部录音、复杂环境音、 客机、驾驶舱内部、 滑翔机、 齐柏林飞艇、 喷气客机、 大型喷气式飞机、 里尔喷气机、 空中客车、 波音、 庞巴迪 737、 747、 777、 A310、 DC-10、 A330、 A350、 A380、 战斗机
AIRCRAFT,JET,AEROJet,AERO,"All commercial and private jet powered aircraft, military jets would go under AIRCRAFT-MILITARY.","airliner, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380",航空器,喷气式飞机,客机、 喷气客机、 大型喷气式飞机、 里尔喷气机、 空中客车公司、 波音、 庞巴迪、 737、 747、 777、 A310、 DC-10、 A330、 A350、 A380
AIRCRAFT,MECHANISM,AEROMech,AERO,"Mechanical components of aircraft, for example landing gear, or levers and switches.","landing gear, cockpit lever, rudder, flap",航空器,机械,起落架、驾驶舱操纵杆、方向舵、襟翼、起落架
